new_event_id,event_id,date,v3_type,type,event_type,event_type_name,event_type_original,duration_days,day_index_in_event,canonical_daily_eps,canonical_daily_minpts_raw,canonical_daily_minpts_used,event_global_eps_max,event_global_minpts_max_raw,event_global_minpts_max_rounded,event_global_minpts_used,dbscan_avg_eps,dbscan_raw_avg_minpts,dbscan_rounded_minpts,day_final_n_clusters,day_n_noise_cells,day_n_clustered_cells,cluster_id,sigma,H_component_cells,E_ellipse_cells,interH_intersection_cells,union_cells,target_component_purity,same_day_hw_purity,containment,iou_jaccard,centroid_lon,centroid_lat,major_axis_km,minor_axis_km,ellipse_area_km2,orientation_deg,axis_ratio,eccentricity,pc1_vec_x,pc1_vec_y,pc2_vec_x,pc2_vec_y,centroid_x,centroid_y,x,y,lon,lat,area,axis1_len_km,axis2_len_km,ratio,L2_L1_ratio,ratio_L2_L1,orientation,eigval_major,eigval_minor,pc1_explained_var,pca_origin_lon_unweighted,pca_origin_lat_unweighted,centroid_lon_unweighted,centroid_lat_unweighted,centroid_lon_tmax_weighted,centroid_lat_tmax_weighted,tmax_weight_sum_c,tmax_min_c,tmax_max_c,tmax_mean_c,tmax_sd_c,centroid_displacement_km,centroid_displacement_bearing_deg,E_ellipse_cells_translated,interH_intersection_cells_translated,union_cells_translated,target_component_purity_translated,same_day_hw_purity_translated,containment_translated,iou_jaccard_translated
1,1,1983-07-13,2,Type 2,Type 2,Spatially clustered,Independent Simultaneous,1,1,2.631578947368421,7.578947368421052,8,2.631578947368421,7.578947368421052,8,8,2.631578947368421,7.578947368421052,8,4,13,367,0,1.25,125,56,56,125,44.8,100.0,44.8,44.8,31.05047508761103,21.39001819850779,1579.1582139443997,637.6797781914241,790893.7982339282,22.153130580415166,0.40380993656021097,0.9148429018882086,0.9261793584654122,0.3770832745596089,-0.3770832745596089,0.9261793584654122,31.05047508761103,21.39001819850779,31.05047508761103,21.39001819850779,31.05047508761103,21.39001819850779,790893.7982339282,1579.1582139443997,637.6797781914241,0.40380993656021097,0.40380993656021097,0.40380993656021097,22.153130580415166,398998.5063468907,65061.67992228221,0.8597990479524914,30.972,21.356,30.972,21.356,31.05047508761103,21.39001819850779,5265.403514862061,34.926361083984375,46.432029724121094,42.123228118896485,2.2848050271724687,8.967969882217886,65.15102889453833,56,56,125,44.8,100.0,44.8,44.8
1,1,1983-07-13,2,Type 2,Type 2,Spatially clustered,Independent Simultaneous,1,1,2.631578947368421,7.578947368421052,8,2.631578947368421,7.578947368421052,8,8,2.631578947368421,7.578947368421052,8,4,13,367,1,1.25,34,14,14,34,41.1764705882353,100.0,41.1764705882353,41.1764705882353,45.03410415656309,12.320740202907068,1097.8148276946818,296.89811765953687,255992.01440847176,10.313745588126324,0.27044462341886727,0.9627355325653183,0.9838421139371388,0.17903824966666188,-0.17903824966666188,0.9838421139371388,45.03410415656309,12.320740202907068,45.03410415656309,12.320740202907068,45.03410415656309,12.320740202907068,255992.01440847176,1097.8148276946818,296.89811765953687,0.27044462341886727,0.27044462341886727,0.27044462341886727,10.313745588126324,192831.58334500864,14103.758763164195,0.9318446108843427,45.35294117647059,12.382352941176471,45.35294117647059,12.382352941176471,45.03410415656309,12.320740202907068,1221.096393585205,27.562658309936523,43.28784942626953,35.91459981132956,4.62248159377059,35.34005927408956,258.91401066175735,14,14,34,41.1764705882353,100.0,41.1764705882353,41.1764705882353
1,1,1983-07-13,2,Type 2,Type 2,Spatially clustered,Independent Simultaneous,1,1,2.631578947368421,7.578947368421052,8,2.631578947368421,7.578947368421052,8,8,2.631578947368421,7.578947368421052,8,4,13,367,2,1.25,172,74,74,172,43.02325581395349,100.0,43.02325581395349,43.02325581395349,55.446508551209625,42.232104864704546,1373.172199635822,672.2542088515719,725017.373596548,11.00421815288422,0.489562932478432,0.8719679668102024,0.9816131333040214,0.19088126289675872,-0.19088126289675872,0.9816131333040214,55.446508551209625,42.232104864704546,55.446508551209625,42.232104864704546,55.446508551209625,42.232104864704546,725017.373596548,1373.172199635822,672.2542088515719,0.489562932478432,0.489562932478432,0.489562932478432,11.00421815288422,301696.3023764291,72308.11541098445,0.8066650767422624,54.81395348837209,42.127906976744185,54.81395348837209,42.127906976744185,55.446508551209625,42.232104864704546,6261.4061851501465,22.67152214050293,43.01753234863281,36.40352433226829,5.330706770654342,53.525869053865534,77.30001615645084,75,75,172,43.604651162790695,100.0,43.604651162790695,43.604651162790695
1,1,1983-07-13,2,Type 2,Type 2,Spatially clustered,Independent Simultaneous,1,1,2.631578947368421,7.578947368421052,8,2.631578947368421,7.578947368421052,8,8,2.631578947368421,7.578947368421052,8,4,13,367,3,1.25,36,17,17,36,47.22222222222222,100.0,47.22222222222222,47.22222222222222,46.68117614252466,30.989532814657984,582.4116282090763,367.4676377646188,168088.8927064788,99.14279897290857,0.6309414509710027,0.7758304489040152,-0.1588956043825028,0.9872953898949995,-0.9872953898949995,-0.1588956043825028,46.68117614252466,30.989532814657984,46.68117614252466,30.989532814657984,46.68117614252466,30.989532814657984,168088.8927064788,582.4116282090763,367.4676377646188,0.6309414509710027,0.6309414509710027,0.6309414509710027,99.14279897290857,54272.52874770356,21605.194368689456,0.7152630115752412,46.72222222222222,31.0,46.72222222222222,31.0,46.68117614252466,30.989532814657984,1665.9117012023926,36.993553161621094,50.85563659667969,46.275325033399795,3.347367451678802,4.088448154643454,253.52067928130344,17,17,36,47.22222222222222,100.0,47.22222222222222,47.22222222222222
2,2,1987-07-23,3,Type 3,Type 3,Temporally clustered,Back-to-Back,5,1,3.5217391304347827,8.347826086956522,8,3.5217391304347827,9.0,9,9,3.5217391304347827,9.0,9,1,9,381,0,1.25,381,159,159,381,41.732283464566926,100.0,41.732283464566926,41.732283464566926,34.155341651027406,30.88215545753578,2505.1645132683684,1659.9938317334368,3266123.5324480752,136.90038801393027,0.6626286708682945,0.7489480920219488,-0.7301669038164255,0.6832688289181169,-0.6832688289181169,-0.7301669038164255,34.155341651027406,30.88215545753578,34.155341651027406,30.88215545753578,34.155341651027406,30.88215545753578,3266123.5324480752,2505.1645132683684,1659.9938317334368,0.6626286708682945,0.6626286708682945,0.6626286708682945,136.90038801393027,1004135.8781662628,440892.7234228893,0.694889967618618,33.077427821522306,31.61023622047244,33.077427821522306,31.61023622047244,34.155341651027406,30.88215545753578,14610.435009002686,25.88983726501465,49.89308166503906,38.34759844882595,6.209568236652864,130.61131314410682,127.89317269350049,156,156,381,40.94488188976378,100.0,40.94488188976378,40.94488188976378
2,2,1987-07-24,3,Type 3,Type 3,Temporally clustered,Back-to-Back,5,2,3.2419354838709675,8.064516129032258,8,3.5217391304347827,9.0,9,9,3.5217391304347827,9.0,9,1,6,438,0,1.25,438,185,185,438,42.23744292237443,100.0,42.23744292237443,42.23744292237443,34.715571445340466,30.165043811399038,2493.6055094234052,1617.010596044172,3166871.8959954055,138.7852119426097,0.648462874313296,0.7612462811977071,-0.7522448758946448,0.6588836366842405,-0.6588836366842405,-0.7522448758946448,34.715571445340466,30.165043811399038,34.715571445340466,30.165043811399038,34.715571445340466,30.165043811399038,3166871.8959954055,2493.6055094234052,1617.010596044172,0.648462874313296,0.648462874313296,0.648462874313296,138.7852119426097,994890.9498602815,418355.7228350605,0.7039754411470341,33.6324200913242,30.91780821917808,33.6324200913242,30.91780821917808,34.715571445340466,30.165043811399038,16983.65556526184,25.823169708251953,50.34062194824219,38.77546932708183,6.339332496024199,133.2925631298948,128.48521242066408,181,181,438,41.32420091324201,100.0,41.32420091324201,41.32420091324201
2,2,1987-07-25,3,Type 3,Type 3,Temporally clustered,Back-to-Back,5,3,3.293103448275862,8.448275862068966,8,3.5217391304347827,9.0,9,9,3.5217391304347827,9.0,9,1,11,491,0,1.25,491,209,209,491,42.56619144602851,100.0,42.56619144602851,42.56619144602851,35.275562383416585,29.177030535174,2600.033405034763,1690.7962900434086,3452709.942445366,136.88298290596677,0.6502979103150417,0.7596792927544425,-0.7299593091568303,0.6834906048917446,-0.6834906048917446,-0.7299593091568303,35.275562383416585,29.177030535174,35.275562383416585,29.177030535174,35.275562383416585,29.177030535174,3452709.942445366,2600.033405034763,1690.7962900434086,0.6502979103150417,0.6502979103150417,0.6502979103150417,136.88298290596677,1081627.7931674663,457406.7351079287,0.7027963137250158,34.26985743380855,29.882892057026478,34.26985743380855,29.882892057026478,35.275562383416585,29.177030535174,19336.75952911377,25.3697509765625,49.79838180541992,39.382402299620715,6.121757081667859,125.00317111079531,128.49993239286096,208,208,491,42.36252545824847,100.0,42.36252545824847,42.36252545824847
2,2,1987-07-26,3,Type 3,Type 3,Temporally clustered,Back-to-Back,5,4,3.375,9.0,9,3.5217391304347827,9.0,9,9,3.5217391304347827,9.0,9,1,7,513,0,1.25,513,218,218,513,42.49512670565302,100.0,42.49512670565302,42.49512670565302,35.28637751421265,29.208110231243214,2581.3835173160687,1735.6504109214934,3518881.72269071,133.8224071278412,0.6723721598432201,0.7402132656658912,-0.6924253855939045,0.721489490834851,-0.721489490834851,-0.6924253855939045,35.28637751421265,29.208110231243214,35.28637751421265,29.208110231243214,35.28637751421265,29.208110231243214,3518881.72269071,2581.3835173160687,1735.6504109214934,0.6723721598432201,0.6723721598432201,0.6723721598432201,133.8224071278412,1066166.5381553725,481997.17582911183,0.6886652416180177,34.340155945419106,30.022417153996102,34.340155945419106,30.022417153996102,35.28637751421265,29.208110231243214,19922.960372924805,25.746601104736328,49.61457824707031,38.83618006418091,6.131626250073268,128.63237573937732,134.32912852975346,211,211,513,41.13060428849902,100.0,41.13060428849902,41.13060428849902
2,2,1987-07-27,3,Type 3,Type 3,Temporally clustered,Back-to-Back,5,5,3.189189189189189,7.567567567567567,8,3.5217391304347827,9.0,9,9,3.5217391304347827,9.0,9,1,3,504,0,1.25,504,222,222,504,44.04761904761905,100.0,44.04761904761905,44.04761904761905,36.10871272404261,29.16578693084553,2327.912962233907,2002.7136720302813,3661638.641401211,122.28250957679539,0.8603043603951762,0.509780744521649,-0.5340942952435913,0.8454249131580235,-0.8454249131580235,-0.5340942952435913,36.10871272404261,29.16578693084553,36.10871272404261,29.16578693084553,36.10871272404261,29.16578693084553,3661638.641401211,2327.912962233907,2002.7136720302813,0.8603043603951762,0.8603043603951762,0.8603043603951762,122.28250957679539,867068.6015578628,641737.9283419221,0.5746718246344372,35.38690476190476,30.081349206349206,35.38690476190476,30.081349206349206,36.10871272404261,29.16578693084553,19485.04691886902,21.283151626586914,50.163352966308594,38.66080737870837,6.281773431316648,123.23202847477505,145.26113550221476,217,217,504,43.05555555555556,100.0,43.05555555555556,43.05555555555556
3,3,1991-06-04,3,Type 3,Type 3,Temporally clustered,Back-to-Back,2,1,3.242857142857143,8.228571428571428,8,3.242857142857143,8.228571428571428,8,8,3.242857142857143,8.228571428571428,8,2,5,371,0,1.25,176,79,79,176,44.88636363636363,100.0,44.88636363636363,44.88636363636363,26.65588666559593,21.226201746430473,1297.442008099989,1001.4664033093302,1020502.8478161177,116.81287881569708,0.7718775845526277,0.6357711809017463,-0.4510781627183897,0.8924844486704527,-0.8924844486704527,-0.4510781627183897,26.65588666559593,21.226201746430473,26.65588666559593,21.226201746430473,26.65588666559593,21.226201746430473,1020502.8478161177,1297.442008099989,1001.4664033093302,0.7718775845526277,0.7718775845526277,0.7718775845526277,116.81287881569708,269336.9223012051,160469.5931131722,0.6266469042274448,26.619318181818183,21.238636363636363,26.619318181818183,21.238636363636363,26.65588666559593,21.226201746430473,7268.006446838379,35.898963928222656,45.138065338134766,41.29549117521806,1.667089316725973,4.038071629530396,109.92785543957419,79,79,176,44.88636363636363,100.0,44.88636363636363,44.88636363636363
