old_repository_path,repository_sha256,repository_bytes,historical_byte_identity_sha256,historical_byte_identity_bytes,historical_identity_source,archive_member_byte_form,eol_relationship,reserved_data_doi,archive_filename,archive_sha256,archive_member_path,member_sha256,member_bytes,state,recorded_in_sha256_manifest,archive_publication_state,verification_status
assets/manuscript_final/Figure_05.png,7af1b41383a7e519f2574ca6fd27936c9f4bb96ea92a17ca12fd894035556fcc,537580,7af1b41383a7e519f2574ca6fd27936c9f4bb96ea92a17ca12fd894035556fcc,537580,assets/manuscript_final/SHA256SUMS,repository_normalized_bytes,none (binary; both byte identities are the same bytes),10.5281/zenodo.21717752,scorch_processed_data_v1.0.0.zip,8d6ca0c5cd77d672a7c73924a1d243dab01d1a592c1730389aa0f1a864871383,provenance_evidence/superseded_manuscript_assets/Figure_05.png,7af1b41383a7e519f2574ca6fd27936c9f4bb96ea92a17ca12fd894035556fcc,537580,relocated,false,LOCAL_CANDIDATE_NOT_UPLOADED_NOT_DEPOSITED_NOT_PUBLISHED,VERIFIED_IN_LOCAL_ARCHIVE_CANDIDATE
assets/manuscript_final/Figure_06.png,f45272bc0030022fda3d5bdfdbe51e33b4d96d749e5f120d07cbabef8fb01cfe,1011683,f45272bc0030022fda3d5bdfdbe51e33b4d96d749e5f120d07cbabef8fb01cfe,1011683,assets/manuscript_final/SHA256SUMS,repository_normalized_bytes,none (binary; both byte identities are the same bytes),10.5281/zenodo.21717752,scorch_processed_data_v1.0.0.zip,8d6ca0c5cd77d672a7c73924a1d243dab01d1a592c1730389aa0f1a864871383,provenance_evidence/superseded_manuscript_assets/Figure_06.png,f45272bc0030022fda3d5bdfdbe51e33b4d96d749e5f120d07cbabef8fb01cfe,1011683,relocated,false,LOCAL_CANDIDATE_NOT_UPLOADED_NOT_DEPOSITED_NOT_PUBLISHED,VERIFIED_IN_LOCAL_ARCHIVE_CANDIDATE
assets/manuscript_final/Figure_07.png,5136d35c7e7cc1504afececdff5386d2835826fbb0b0e78f3abd457214cdd6bd,903421,5136d35c7e7cc1504afececdff5386d2835826fbb0b0e78f3abd457214cdd6bd,903421,assets/manuscript_final/SHA256SUMS,repository_normalized_bytes,none (binary; both byte identities are the same bytes),10.5281/zenodo.21717752,scorch_processed_data_v1.0.0.zip,8d6ca0c5cd77d672a7c73924a1d243dab01d1a592c1730389aa0f1a864871383,provenance_evidence/superseded_manuscript_assets/Figure_07.png,5136d35c7e7cc1504afececdff5386d2835826fbb0b0e78f3abd457214cdd6bd,903421,relocated,false,LOCAL_CANDIDATE_NOT_UPLOADED_NOT_DEPOSITED_NOT_PUBLISHED,VERIFIED_IN_LOCAL_ARCHIVE_CANDIDATE
legacy_defective_figure09/Figure9_assembled_LEGACY_ARITHMETIC_DEFECTIVE.png,4cb3b38a5d80db8b2a936ed9ddf8246e2007609cd9c6ae1e6984256f1d1ffa04,944684,4cb3b38a5d80db8b2a936ed9ddf8246e2007609cd9c6ae1e6984256f1d1ffa04,944684,provenance/legacy/figure09/README.md,repository_normalized_bytes,none (binary; both byte identities are the same bytes),10.5281/zenodo.21717752,scorch_processed_data_v1.0.0.zip,8d6ca0c5cd77d672a7c73924a1d243dab01d1a592c1730389aa0f1a864871383,provenance_evidence/legacy_defective_figure09/Figure9_assembled_LEGACY_ARITHMETIC_DEFECTIVE.png,4cb3b38a5d80db8b2a936ed9ddf8246e2007609cd9c6ae1e6984256f1d1ffa04,944684,relocated,false,LOCAL_CANDIDATE_NOT_UPLOADED_NOT_DEPOSITED_NOT_PUBLISHED,VERIFIED_IN_LOCAL_ARCHIVE_CANDIDATE
legacy_defective_figure09/Figure_09_LEGACY_ARITHMETIC_DEFECTIVE.png,b023c6e55359b69d74dd1b93f7199c2f82f12d782cd76f3de5170a8f36460ad1,274118,b023c6e55359b69d74dd1b93f7199c2f82f12d782cd76f3de5170a8f36460ad1,274118,provenance/legacy/figure09/README.md,repository_normalized_bytes,none (binary; both byte identities are the same bytes),10.5281/zenodo.21717752,scorch_processed_data_v1.0.0.zip,8d6ca0c5cd77d672a7c73924a1d243dab01d1a592c1730389aa0f1a864871383,provenance_evidence/legacy_defective_figure09/Figure_09_LEGACY_ARITHMETIC_DEFECTIVE.png,b023c6e55359b69d74dd1b93f7199c2f82f12d782cd76f3de5170a8f36460ad1,274118,relocated,false,LOCAL_CANDIDATE_NOT_UPLOADED_NOT_DEPOSITED_NOT_PUBLISHED,VERIFIED_IN_LOCAL_ARCHIVE_CANDIDATE
remediation/corrected/event_global_max_algorithm/final_labels_event_global_max.csv,5e9d93820c1fb48506be02e667414eadca36b5170314b46e620685650c666da3,4397651,e1c9c6cc883addc8aea856db919c0ccb4d9840a88872dfb19154d25154c50c39,4588750,provenance/corrections/tmax_weighted_centroids/corrected_outputs/SHA256_MANIFEST.json,historical_windows_worktree_bytes,"historical worktree is CRLF; repository-normalized is LF (proven EOL transform, not byte identity)",10.5281/zenodo.21717752,scorch_processed_data_v1.0.0.zip,8d6ca0c5cd77d672a7c73924a1d243dab01d1a592c1730389aa0f1a864871383,catalogs/final_labels_event_global_max.csv,e1c9c6cc883addc8aea856db919c0ccb4d9840a88872dfb19154d25154c50c39,4588750,relocated,true,LOCAL_CANDIDATE_NOT_UPLOADED_NOT_DEPOSITED_NOT_PUBLISHED,VERIFIED_IN_LOCAL_ARCHIVE_CANDIDATE
remediation/corrected/event_global_max_algorithm/scorch_new_algorithm_master_cluster_ellipse_event_global_max.csv,f9e98478875cb706721a023b06759317903065d413948b4c1170bc773e62fc5c,816053,dffb5e8f393080728f0b1f11c53f9e0803889705429cb190ed8548604194a53d,816814,provenance/corrections/tmax_weighted_centroids/corrected_outputs/SHA256_MANIFEST.json,historical_windows_worktree_bytes,"historical worktree is CRLF; repository-normalized is LF (proven EOL transform, not byte identity)",10.5281/zenodo.21717752,scorch_processed_data_v1.0.0.zip,8d6ca0c5cd77d672a7c73924a1d243dab01d1a592c1730389aa0f1a864871383,catalogs/scorch_new_algorithm_master_cluster_ellipse_event_global_max.csv,dffb5e8f393080728f0b1f11c53f9e0803889705429cb190ed8548604194a53d,816814,relocated,true,LOCAL_CANDIDATE_NOT_UPLOADED_NOT_DEPOSITED_NOT_PUBLISHED,VERIFIED_IN_LOCAL_ARCHIVE_CANDIDATE
remediation/corrected_outputs/figures/Figure3_assembled.png,ff6a5129452d73e3c67650836d725c4c35f6945ed9ace21504d2bac7f43ee319,10881223,ff6a5129452d73e3c67650836d725c4c35f6945ed9ace21504d2bac7f43ee319,10881223,provenance/corrections/tmax_weighted_centroids/corrected_outputs/SHA256_MANIFEST.json,repository_normalized_bytes,none (binary; both byte identities are the same bytes),10.5281/zenodo.21717752,scorch_processed_data_v1.0.0.zip,8d6ca0c5cd77d672a7c73924a1d243dab01d1a592c1730389aa0f1a864871383,provenance_evidence/remediation_corrected_figures/Figure3_assembled.png,ff6a5129452d73e3c67650836d725c4c35f6945ed9ace21504d2bac7f43ee319,10881223,relocated,true,LOCAL_CANDIDATE_NOT_UPLOADED_NOT_DEPOSITED_NOT_PUBLISHED,VERIFIED_IN_LOCAL_ARCHIVE_CANDIDATE
remediation/corrected_outputs/figures/Figure5_type1_type2.png,5eeec34640e91ea346165b06aa81a14c2ed2eaa055cc70395863b34f2621085d,1602678,5eeec34640e91ea346165b06aa81a14c2ed2eaa055cc70395863b34f2621085d,1602678,provenance/corrections/tmax_weighted_centroids/corrected_outputs/SHA256_MANIFEST.json,repository_normalized_bytes,none (binary; both byte identities are the same bytes),10.5281/zenodo.21717752,scorch_processed_data_v1.0.0.zip,8d6ca0c5cd77d672a7c73924a1d243dab01d1a592c1730389aa0f1a864871383,provenance_evidence/remediation_corrected_figures/Figure5_type1_type2.png,5eeec34640e91ea346165b06aa81a14c2ed2eaa055cc70395863b34f2621085d,1602678,relocated,true,LOCAL_CANDIDATE_NOT_UPLOADED_NOT_DEPOSITED_NOT_PUBLISHED,VERIFIED_IN_LOCAL_ARCHIVE_CANDIDATE
remediation/corrected_outputs/figures/Figure6_type3_two_events.png,ac2ebeaf5037fe7dafb00daf595aff91485b52c2af89127a52006e508c07afcb,2765403,ac2ebeaf5037fe7dafb00daf595aff91485b52c2af89127a52006e508c07afcb,2765403,provenance/corrections/tmax_weighted_centroids/corrected_outputs/SHA256_MANIFEST.json,repository_normalized_bytes,none (binary; both byte identities are the same bytes),10.5281/zenodo.21717752,scorch_processed_data_v1.0.0.zip,8d6ca0c5cd77d672a7c73924a1d243dab01d1a592c1730389aa0f1a864871383,provenance_evidence/remediation_corrected_figures/Figure6_type3_two_events.png,ac2ebeaf5037fe7dafb00daf595aff91485b52c2af89127a52006e508c07afcb,2765403,relocated,true,LOCAL_CANDIDATE_NOT_UPLOADED_NOT_DEPOSITED_NOT_PUBLISHED,VERIFIED_IN_LOCAL_ARCHIVE_CANDIDATE
